cookie,duration_sec,packet_count,byte_count,bytes_per_sec,packets_per_sec,avg_packet_size,switch,timestamp,collection_time,label
0x0,40.127,24949,1347310,33576.14573728412,621.7509407630772,54.00256523307547,s2,2025-03-12 10:33:19,1741755799.7053757,ATTACK
0x0,40.122,13823,580990,14480.584218134689,344.52420118638156,42.0306735151559,s2,2025-03-12 10:33:19,1741755799.7053757,ATTACK
0x0,40.118,44,3204,79.86440001994117,1.0967645445934493,72.81818181818181,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,40.11,3,238,5.93368237347295,0.07479431563201197,79.33333333333333,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,40.106,2,140,3.4907495137884603,0.04986785019697801,70.0,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,40.101,3,238,5.935014089424204,0.07481110196753199,79.33333333333333,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,40.096,2,140,3.491620111731844,0.049880287310454914,70.0,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,40.085,3,238,5.937383060995384,0.07484096295372333,79.33333333333333,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,40.084,2,140,3.4926654026544255,0.049895220037920365,70.0,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,45.244,47,3466,76.60684289629565,1.0388117761471134,73.74468085106383,s2,2025-03-12 10:33:19,1741755799.7053757,BENIGN
0x0,45.159,3,194,4.295932150844793,0.06643194047698134,64.66666666666667,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.151,29212,1577740,34943.63358508117,646.9845629111204,54.009995892099134,s1,2025-03-12 10:33:24,1741755804.7417743,ATTACK
0x0,45.149,29211,1577622,34942.56794170413,646.9910739994241,54.00780527883332,s1,2025-03-12 10:33:24,1741755804.7417743,ATTACK
0x0,45.141,16152,678808,15037.504707472144,357.8121884761082,42.02625061911838,s1,2025-03-12 10:33:24,1741755804.7417743,ATTACK
0x0,45.14,51,3638,80.59370846256093,1.129818342933097,71.33333333333333,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.129,3,238,5.27377074608345,0.06647610184138802,79.33333333333333,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.127,2,140,3.1023555742681763,0.04431936534668823,70.0,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.12,3,238,5.2748226950354615,0.06648936170212766,79.33333333333333,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.119,2,140,3.102905649504643,0.04432722356435205,70.0,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,50.265,47,3466,68.95454093305482,0.9350442653934149,73.74468085106383,s1,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.163,29211,1577622,34931.73615570268,646.7905143590993,54.00780527883332,s2,2025-03-12 10:33:24,1741755804.7417743,ATTACK
0x0,45.158,16152,678808,15031.843748615971,357.67748793126356,42.02625061911838,s2,2025-03-12 10:33:24,1741755804.7417743,ATTACK
0x0,45.154,51,3638,80.56872037914691,1.1294680426983212,71.33333333333333,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.146,3,238,5.2717848757365,0.06645106986222478,79.33333333333333,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.142,2,140,3.101324708697,0.04430463869567143,70.0,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.137,3,238,5.272836032523207,0.06646431973768749,79.33333333333333,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.132,2,140,3.102011876274041,0.04431445537534344,70.0,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.121,3,238,5.274705791095055,0.06648788812304691,79.33333333333333,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,45.12,2,140,3.1028368794326244,0.044326241134751775,70.0,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,50.28,47,3466,68.93396976929196,0.9347653142402546,73.74468085106383,s2,2025-03-12 10:33:24,1741755804.7417743,BENIGN
0x0,50.201,4,236,4.701101571681839,0.07967968765562439,59.0,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
